area,bedrooms,age,price
1460,3.0,8,195536
4372,1.0,33,526139
3692,,6,524207
1066,3.0,39,111925
4044,2.0,4,511168
3771,4.0,13,468050
3519,5.0,2,512478
730,1.0,5,104039
2285,5.0,27,302155
1369,2.0,32,162466
2991,5.0,21,346638
3033,1.0,8,320391
1784,2.0,38,153742
3985,5.0,8,527963
4717,4.0,3,650830
3504,6.0,3,556299
1074,2.0,22,146251
1682,6.0,6,291255
3158,2.0,2,336738
2647,4.0,23,320524
3347,6.0,2,448871
1575,3.0,38,161899
2406,1.0,17,266245
789,3.0,35,79572
3334,5.0,34,358231
3605,4.0,23,469412
2499,3.0,30,264202
1867,2.0,8,242282
2128,5.0,22,355542
3802,5.0,36,441448
4156,3.0,5,441031
4490,3.0,13,537169
1246,4.0,29,201518
3488,1.0,31,437670
3035,3.0,16,337938
1200,3.0,30,161900
2963,6.0,16,397585
2661,2.0,12,318436
841,6.0,17,245645
2641,,16,329425
3424,5.0,12,461972
3212,1.0,8,388810
1963,2.0,20,264318
2078,4.0,3,298309
3156,4.0,16,412981
1375,3.0,30,155375
4614,3.0,23,556083
634,4.0,28,89014
3752,3.0,5,489127
2555,1.0,20,273736
2185,6.0,1,351388
4543,3.0,30,530567
3673,5.0,21,505976
1621,3.0,20,205873
4061,,6,436624
3213,1.0,22,395952
4443,2.0,18,492173
2100,2.0,8,242287
761,5.0,39,97845
4897,1.0,32,580988
2581,1.0,33,208144
1595,1.0,16,273357
3942,1.0,12,485611
4398,1.0,38,481867
1875,5.0,34,248178
1616,3.0,14,222606
937,2.0,36,110188
1478,1.0,33,164726
1676,3.0,23,226808
4593,3.0,2,573482
979,2.0,21,111464
1092,5.0,2,193641
2662,4.0,27,327882
4484,4.0,9,598873
664,3.0,1,137966
3168,6.0,11,352908
2627,6.0,3,408182
3295,2.0,23,387167
2095,4.0,26,269163
991,3.0,4,142509
4161,5.0,18,565638
2878,4.0,6,412195
3699,3.0,35,405198
800,3.0,22,122811
3704,1.0,15,393810
3054,5.0,22,358421
4245,1.0,37,439973
1404,2.0,12,202931
3331,1.0,38,381058
3373,1.0,18,396687
2170,4.0,35,289302
3290,6.0,30,447835
4440,3.0,24,507555
1628,5.0,30,239177
1102,1.0,14,148942
1470,5.0,6,259478
806,6.0,3,214757
2084,6.0,16,331709
1463,1.0,7,185388
3390,2.0,14,435154
1163,1.0,9,137149
4791,4.0,15,566508
2357,3.0,21,285962
2278,2.0,35,227622
3842,1.0,2,434174
1659,5.0,27,229049
2322,2.0,2,270857
3914,2.0,35,428871
3757,1.0,18,368646
3225,2.0,14,390473
3329,5.0,20,433871
2197,6.0,18,296542
3660,2.0,10,458677
3293,6.0,25,466822
4227,5.0,2,510478
1963,1.0,25,187863
2581,3.0,33,279140
2263,2.0,36,218847
2129,3.0,31,277519
2638,5.0,14,355755
3902,2.0,1,469594
2837,6.0,16,336939
1906,4.0,3,294652
4629,3.0,35,498157
3275,2.0,6,401222
1882,3.0,25,239751
1309,2.0,13,205754
4348,1.0,34,434955
1263,6.0,8,135059
2598,3.0,21,324085
4045,4.0,34,538390
4343,4.0,4,591813
2095,5.0,25,292214
3904,2.0,15,446210
4363,3.0,4,566158
2453,5.0,12,313488
1891,3.0,32,238355
4181,2.0,32,487579
4057,4.0,28,524761
2236,1.0,13,339329
4296,4.0,31,528612
3599,5.0,14,456816
3752,6.0,20,496712
1298,1.0,18,89597
2760,5.0,29,336758
4697,2.0,6,550676
1454,1.0,32,128087
4074,5.0,29,513280
2307,2.0,2,268232
3377,4.0,23,454385
2333,6.0,19,335501
4110,2.0,31,465170
802,3.0,5,121393
3855,2.0,19,455180
4818,2.0,34,568022
1366,6.0,10,209076
4989,3.0,25,568991
2927,5.0,2,400093
3531,5.0,11,427488
797,2.0,31,59877
