area,price
2600,550000
3000,565000
3200,610000
3600,680000
4000,725000
4945,622765
705,99608
2437,296536
3893,514239
1343,143773
4141,472032
3665,421038
3729,432017
2303,286513
4383,549100
2254,248251
947,137203
3507,454827
1510,198398
2538,345627
3838,479619
2803,339556
4593,519985
623,105304
1048,88392
1607,142149
3431,415354
2642,323141
2666,269369
4716,594448
4319,541841
4167,500170
1262,176655
1746,226134
4288,508788
2119,263629
1208,122552
2591,326932
4784,557374
2012,243613
4338,520488
4853,587201
3984,479381
2850,327066
1434,181541
4496,535148
3551,423180
1083,99656
2369,301674
4562,543142
757,96641
2082,227330
3214,422955
3338,426620
1293,156665
1072,144687
1169,137288
3696,444435
3287,402771
1501,168473
766,66333
4068,481292
1299,132720
2869,344396
3235,420315
2357,260463
1968,223719
3161,390175
2742,345577
1940,195923
2056,199283
1686,190304
1316,149014
2602,326644
3646,462839
1726,175862
3593,399723
3413,430214
2628,334691
3778,467078
4600,524373
1170,104061
2345,254738
3633,426812
4319,546708
4060,501261
3376,401712
922,94294
3445,426368
1445,190229
1820,231526
2034,234999
2047,238158
1877,231117
4619,550018
1228,134621
519,59592
674,92411
2163,250374
1968,254488
886,114042
2243,246932
4959,622202
2308,278512
2057,242243
1786,203647
1764,200951
4387,533146
1560,172678
2699,312279
3887,487585
4075,505966
3734,475961
2730,313806
810,124969
786,119681
2582,344787
1731,190065
1203,124685
1802,227897
1956,243785
2554,285988
2145,260822
2459,277389
4166,488176
4575,540965
4013,480316
561,73311
1896,244017
4686,557186
1515,187560
2483,302822
4886,591139
4603,516108
504,65149
4771,599087
2558,326359
4312,519145
1188,153131
1749,236386
3608,453454
1388,157506
3090,403636
797,110361
2518,261573
1610,202992
2813,340117
1840,256890
3181,345427
3338,398480
4631,553149
2833,344788
957,104191
2917,369574
2446,307133
3243,383090
3305,392253
3529,418662
2222,273815
963,109778
1973,189339
4490,548146
1719,178398
3915,463601
3948,484709
4066,498072
2181,249630
3500,380777
2489,314602
2124,232581
3915,470976
2573,300783
1081,141397
3189,413317
3789,474010
3884,426842
4422,559890
3618,434716
773,95845
682,80473
3329,418380
3728,456502
4171,547337
539,45843
2557,289055
3410,418052
3101,389943
955,131611
2840,374969
4028,483875
2078,205303
575,43799
2902,332129
2690,303143
1589,195898
3025,375514
3306,394200
2100,253373
1231,156404
1805,208602
1428,179750
3249,386336
4627,576687
3143,367056
3228,390394
2502,271904
1506,161945
4630,540387
2076,240738
3956,488302
1438,209700
4733,536906
1572,196426
2238,263932
1455,147251
2891,332331
744,104303
4231,509655
1178,165856
2888,329848
696,72487
652,69321
2369,293435
2323,312860
4554,571077
4105,487523
2720,332092
3939,458855
3684,452186
1573,200045
2433,275848
1666,213103
3379,411407
3754,470681
1302,193930
4004,480655
758,79885
2179,242286
4949,547532
3367,420867
3806,450085
3379,388142
1718,172773
500,89397
4840,554252
2584,319317
4376,506090
4855,555059
2402,262876
3408,374095
1546,210730
1550,197485
2812,349921
2702,341596
2652,298778
1068,96809
4569,537643
2215,232931
4802,600103
3523,421859
3238,395996
865,94827
4258,496173
1409,156420
3855,445408
4633,546872
1402,188801
1164,119559
941,92030
4057,448174
4295,496195
4719,583856
1655,174579
1402,172320
4344,515473
1224,126924
4220,504060
2438,298795
2416,326553
1959,229312
3976,467524
3564,466278
3083,351092
3201,386447
798,80554
1503,138332
2533,320848
1503,155430
4675,565598
2799,363310
2929,350385
2105,229703
4620,547710
4367,515418
2361,280383
610,76775
1634,181242
829,110664
762,88243
2634,285129
1814,224270
2613,334516
2122,270179
2319,301200
1075,82178
1109,143231
1090,153308
555,79353
4801,613121
1751,195946
3655,471684
1765,208960
3376,375458
2555,293564
4645,567843
3464,423413
4391,500638
3551,429213
1282,142674
1563,166638
4415,521980
1102,101930
4904,576201
2227,280875
1545,200306
4539,557170
4711,587179
4726,577560
3884,492177
4486,531626
3312,402730
4476,545245
2107,293745
4186,505162
3321,394921
3513,445507
4645,524241
2170,241101
1912,198654
1156,111007
618,65897
3355,367737
1172,165089
1403,148966
629,65912
1881,228108
2049,231406
4578,557112
2725,271616
832,133286
2039,258970
3959,512213
4070,512255
2858,342564
1174,129201
1706,217323
3453,420850
878,135396
2099,314679
4400,589760
4108,471264
1566,194081
1299,173077
3578,445184
641,60346
3996,457910
1320,108944
4729,564295
3573,432642
679,61267
2482,301358
539,64715
2502,312628
968,116562
4517,579711
1487,209804
2101,248907
1159,139598
2789,316987
3370,421033
2345,322449
3523,451735
4595,497347
1436,167366
3122,354908
1824,216419
2925,343226
4344,511646
1022,115631
616,54933
2353,281744
4838,605067
3630,447702
4611,519822
4732,557424
1841,244670
1370,123116
2846,299926
4788,565836
1419,168750
2194,290785
2609,315462
2734,312539
543,50107
3304,421642
1664,189566
4046,446621
2955,304670
2459,280616
543,36135
2823,302959
2140,246435
2436,297023
2760,276378
4640,549797
1130,146034
3424,384882
3710,433238
3826,454866
1148,142319
3354,416342
534,53032
2308,264176
1644,197473
3738,383397
3385,420540
1345,179669
4148,460249
3014,398878
519,82875
3338,404017
1280,134240
1584,186299
2632,315813
4043,471060
3130,383205
840,116528
1762,183138
1676,186493
3877,455524
4620,556721
928,105678
1903,255547
4999,583732
1720,216479
4144,470969
4486,558057
3436,440117
