Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -,Scraped_Date,Win-Loss Ratio
Boston Bruins,1990,44,24,,0.55,299,264,35,2025-05-19 13:56:48,1.8333333333333333
Buffalo Sabres,1990,31,30,,0.388,292,278,14,2025-05-19 13:56:48,1.0333333333333334
Calgary Flames,1990,46,26,,0.575,344,263,81,2025-05-19 13:56:48,1.7692307692307692
Chicago Blackhawks,1990,49,23,,0.613,284,211,73,2025-05-19 13:56:48,2.130434782608696
Detroit Red Wings,1990,34,38,,0.425,273,298,-25,2025-05-19 13:56:48,0.8947368421052632
Edmonton Oilers,1990,37,37,,0.463,272,272,0,2025-05-19 13:56:48,1.0
Hartford Whalers,1990,31,38,,0.388,238,276,-38,2025-05-19 13:56:48,0.8157894736842105
Los Angeles Kings,1990,46,24,,0.575,340,254,86,2025-05-19 13:56:48,1.9166666666666667
Minnesota North Stars,1990,27,39,,0.338,256,266,-10,2025-05-19 13:56:48,0.6923076923076923
Montreal Canadiens,1990,39,30,,0.487,273,249,24,2025-05-19 13:56:48,1.3
New Jersey Devils,1990,32,33,,0.4,272,264,8,2025-05-19 13:56:48,0.9696969696969697
New York Islanders,1990,25,45,,0.312,223,290,-67,2025-05-19 13:56:48,0.5555555555555556
New York Rangers,1990,36,31,,0.45,297,265,32,2025-05-19 13:56:48,1.1612903225806452
Philadelphia Flyers,1990,33,37,,0.412,252,267,-15,2025-05-19 13:56:48,0.8918918918918919
Pittsburgh Penguins,1990,41,33,,0.512,342,305,37,2025-05-19 13:56:48,1.2424242424242424
Quebec Nordiques,1990,16,50,,0.2,236,354,-118,2025-05-19 13:56:48,0.32
St. Louis Blues,1990,47,22,,0.588,310,250,60,2025-05-19 13:56:48,2.1363636363636362
Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77,2025-05-19 13:56:48,0.5
Vancouver Canucks,1990,28,43,,0.35,243,315,-72,2025-05-19 13:56:48,0.6511627906976745
Washington Capitals,1990,37,36,,0.463,258,258,0,2025-05-19 13:56:48,1.0277777777777777
Winnipeg Jets,1990,26,43,,0.325,260,288,-28,2025-05-19 13:56:48,0.6046511627906976
Boston Bruins,1991,36,32,,0.45,270,275,-5,2025-05-19 13:56:48,1.125
Buffalo Sabres,1991,31,37,,0.388,289,299,-10,2025-05-19 13:56:48,0.8378378378378378
Calgary Flames,1991,31,37,,0.388,296,305,-9,2025-05-19 13:56:48,0.8378378378378378
Chicago Blackhawks,1991,36,29,,0.45,257,236,21,2025-05-19 13:56:48,1.2413793103448276
